time,EURUSD,USDJPY,GBPUSD,AUDUSD,USDCAD,USDCHF,USDHKD,EURGBP
2015-01-01 22:00:00,1.20574,120.324,1.55552,0.8131,1.16362,0.99742,7.75566,0.77516
2015-01-02 04:00:00,1.20581,120.413,1.54798,0.81424,1.1661,0.997,7.75564,0.77898
2015-01-02 10:00:00,1.20312,120.194,1.53882,0.81256,1.17135,0.99906,7.75574,0.78186
2015-01-02 16:00:00,1.2002,120.494,1.53278,0.80894,1.17842,1.00163,7.75651,0.78301
2015-01-04 22:00:00,1.19442,120.597,1.5289,0.80574,1.18093,1.00622,7.75614,0.78127
2015-01-05 04:00:00,1.19546,120.214,1.53062,0.80867,1.17731,1.0051,7.75574,0.78104
2015-01-05 10:00:00,1.19366,119.586,1.52396,0.80976,1.17886,1.00644,7.75605,0.78326
2015-01-05 16:00:00,1.19324,119.636,1.52506,0.8083,1.17602,1.007,7.75593,0.78256
2015-01-05 22:00:00,1.19442,119.296,1.52597,0.81358,1.1741,1.0061,7.75447,0.78273
2015-01-06 04:00:00,1.19077,118.84,1.52024,0.81308,1.17684,1.00889,7.75406,0.78331
2015-01-06 10:00:00,1.19193,118.709,1.51698,0.81138,1.17895,1.00772,7.75314,0.78572
2015-01-06 16:00:00,1.18902,118.384,1.51517,0.80844,1.18364,1.0101,7.7543,0.78475
2015-01-06 22:00:00,1.1876,119.016,1.51446,0.80746,1.1831,1.01132,7.75475,0.78419
2015-01-07 04:00:00,1.18542,118.837,1.51208,0.80618,1.18678,1.01312,7.7545,0.78382
2015-01-07 10:00:00,1.18024,119.448,1.50632,0.80396,1.1864,1.01759,7.75496,0.7835
2015-01-07 16:00:00,1.18392,119.253,1.51106,0.8079,1.18148,1.01432,7.7549,0.78348
2015-01-07 22:00:00,1.1827,119.686,1.50942,0.81114,1.18244,1.01549,7.75504,0.78356
2015-01-08 04:00:00,1.17819,119.752,1.50544,0.81108,1.18138,1.01932,7.75506,0.78264
2015-01-08 10:00:00,1.17924,119.683,1.50816,0.81082,1.1823,1.01862,7.75518,0.78192
2015-01-08 16:00:00,1.17927,119.661,1.50903,0.81231,1.18302,1.01836,7.75448,0.7815
2015-01-08 22:00:00,1.18034,119.546,1.50929,0.81392,1.18197,1.01754,7.75444,0.78204
2015-01-09 04:00:00,1.18157,119.334,1.51314,0.81206,1.18502,1.01642,7.75404,0.78088
2015-01-09 10:00:00,1.18322,118.868,1.51473,0.81878,1.18547,1.01488,7.7538,0.78112
2015-01-09 16:00:00,1.18412,118.543,1.51576,0.82032,1.18654,1.0143,7.75298,0.78123
2015-01-11 22:00:00,1.1855,118.304,1.51652,0.82465,1.18459,1.01321,7.75374,0.78176
2015-01-12 04:00:00,1.18135,119.138,1.51214,0.81623,1.18805,1.01662,7.75364,0.78124
2015-01-12 10:00:00,1.18167,118.65,1.51371,0.81594,1.19315,1.01626,7.75276,0.78068
2015-01-12 16:00:00,1.18336,118.348,1.51718,0.81562,1.19744,1.01489,7.75297,0.7799
2015-01-12 22:00:00,1.1846,117.979,1.51762,0.81854,1.19556,1.0138,7.75375,0.78058
2015-01-13 04:00:00,1.18084,118.532,1.51084,0.814,1.19808,1.01702,7.75357,0.7816
2015-01-13 10:00:00,1.17814,118.5,1.51756,0.81534,1.19308,1.01934,7.75309,0.77632
2015-01-13 16:00:00,1.17724,117.923,1.51603,0.81664,1.1958,1.0202,7.75296,0.77662
2015-01-13 22:00:00,1.17738,117.502,1.5152,0.80914,1.19897,1.02006,7.75394,0.77704
2015-01-14 04:00:00,1.17446,117.018,1.51736,0.81366,1.1975,1.02254,7.75366,0.77402
2015-01-14 10:00:00,1.17866,116.908,1.52119,0.81581,1.19584,1.01894,7.75406,0.77482
2015-01-14 16:00:00,1.17896,117.332,1.52344,0.81486,1.19496,1.01874,7.75415,0.77379
2015-01-14 22:00:00,1.1781,117.716,1.52348,0.81904,1.19652,1.01944,7.75424,0.7733
2015-01-15 04:00:00,1.17241,116.991,1.51904,0.81898,1.19598,0.98064,7.7541,0.77119
2015-01-15 10:00:00,1.15857,116.87,1.51678,0.82273,1.19168,0.90903,7.75382,0.76381
2015-01-15 16:00:00,1.16332,116.163,1.51845,0.82176,1.19602,0.8394,7.75282,0.76598
2015-01-15 22:00:00,1.16393,116.242,1.51878,0.82415,1.19652,0.86434,7.75181,0.76636
2015-01-16 04:00:00,1.16294,116.415,1.52246,0.82126,1.19949,0.8735,7.75097,0.76394
2015-01-16 10:00:00,1.14926,117.648,1.51119,0.82,1.19728,0.85316,7.75384,0.76047
2015-01-16 16:00:00,1.15679,117.624,1.51449,0.82251,1.19849,0.85655,7.75103,0.76308
2015-01-18 22:00:00,1.15613,117.126,1.51396,0.82096,1.19688,0.86724,7.75192,0.76358
2015-01-19 04:00:00,1.16158,117.23,1.51645,0.82078,1.19644,0.86612,7.75264,0.766
2015-01-19 10:00:00,1.16312,117.534,1.51572,0.8218,1.19584,0.87506,7.75336,0.76742
2015-01-19 16:00:00,1.1607,117.558,1.51118,0.82123,1.19406,0.87956,7.75218,0.76796
2015-01-19 22:00:00,1.15808,118.204,1.50699,0.81668,1.19772,0.88023,7.75249,0.7685
2015-01-20 04:00:00,1.16057,118.284,1.51582,0.8205,1.19672,0.87494,7.75314,0.76563
2015-01-20 10:00:00,1.15736,118.344,1.5194,0.81773,1.20889,0.87752,7.7528,0.76172
2015-01-20 16:00:00,1.15509,118.814,1.5144,0.8172,1.21136,0.87572,7.75256,0.76264
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
2015-01-20 22:00:00,1.1569,117.724,1.51679,0.82092,1.20844,0.87278,7.75318,0.76272
